variant,run,GFLOPs
scalar,1,3.671
v128,1,5.981
v256,1,6.505
v512,1,6.673
scalar,2,3.664
v128,2,5.944
v256,2,6.219
v512,2,6.715
scalar,3,3.390
v128,3,5.005
v256,3,5.547
v512,3,6.903
