version,n,run,mlups
v1,256,1,1379.9
v4,256,1,2076.9
v5,256,1,2111.9
v1,256,2,1336.0
v4,256,2,2092.1
v5,256,2,2043.5
v1,256,3,1196.8
v4,256,3,2162.7
v5,256,3,2097.9
v1,1024,1,885.9
v4,1024,1,1248.4
v5,1024,1,1245.4
v1,1024,2,913.4
v4,1024,2,1274.7
v5,1024,2,1310.1
v1,1024,3,933.3
v4,1024,3,1288.6
v5,1024,3,1169.8
v1,4096,1,426.7
v4,4096,1,527.4
v5,4096,1,512.3
v1,4096,2,492.6
v4,4096,2,587.4
v5,4096,2,554.7
v1,4096,3,503.8
v4,4096,3,573.9
v5,4096,3,593.3
