version,n,run,mlups
v1,256,1,1270.7
v4,256,1,2011.7
v1,256,2,1337.4
v4,256,2,2163.4
v1,256,3,1345.7
v4,256,3,2240.5
v1,1024,1,923.9
v4,1024,1,1267.9
v1,1024,2,939.3
v4,1024,2,1317.1
v1,1024,3,949.8
v4,1024,3,1332.2
v1,4096,1,526.9
v4,4096,1,590.8
v1,4096,2,532.1
v4,4096,2,589.6
v1,4096,3,530.3
v4,4096,3,589.1
