version,n,run,mlups
v1,256,1,1400.2
v6,256,1,2035.7
v1,256,2,1278.6
v6,256,2,2031.0
v1,256,3,1279.5
v6,256,3,2032.4
v1,1024,1,931.5
v6,1024,1,1222.1
v1,1024,2,928.1
v6,1024,2,1289.4
v1,1024,3,957.5
v6,1024,3,1312.4
v1,4096,1,507.2
v6,4096,1,570.7
v1,4096,2,491.4
v6,4096,2,556.2
v1,4096,3,474.7
v6,4096,3,554.6
